station_name,Latitude,Longitude
Racine Ave (May St) & Fulton St,41.886926,-87.65691899999999
Stony Island Ave & 75th St,41.75866967,-87.586882871
Wallace St & 35th St,41.830628999999995,-87.64129
Wentworth Ave & 35th St,41.830777000000005,-87.632504
Halsted St & Maxwell St,41.864883,-87.647071
Milwaukee Ave & Cuyler Ave,41.954468,-87.74959399999999
Wabash Ave & 9th St,41.870769,-87.625734
Calumet Ave & 35th St,41.831379,-87.618034
Ashland Ave & Blackhawk St,41.907066,-87.667252
Wood St & Milwaukee Ave,41.907655,-87.672552
South Shore Dr & 67th St,41.773643,-87.567514
Wolcott Ave & Polk St,41.871262,-87.673688
Wood St & 35th St,41.830104654,-87.670298309
Stony Island Ave & 64th St,41.778881,-87.586647
Ashland Ave & Harrison St,41.874291,-87.66724599999999
Halsted St & 63rd St,41.779381142,-87.644620815
Princeton Ave & Garfield Blvd,41.794982,-87.633124
Halsted St & 69th St,41.76906172,-87.64461357799999
Kostner Ave & Adams St,41.877917,-87.735737
Pulaski Rd & Congress Pkwy,41.874325,-87.72570400000001
MLK Jr Dr & 56th St (*),41.793429456999995,-87.615853262
MLK Jr Dr & 63rd St,41.780080637,-87.61594285700001
Cottage Grove Ave & 63rd St,41.780599015,-87.60611238799999
Shields Ave & 28th Pl,41.842733,-87.635491
Ellis Ave & 60th St,41.785097146,-87.601072761
Dorchester Ave & 49th St,41.805772,-87.592464
Western Ave & Walton St,41.898417689,-87.68659601600001
Pulaski Rd & Eddy St (Temp),41.946264,-87.731023
Lake Park Ave & 35th St,41.831274235,-87.608799195
Ogden Ave & Congress Pkwy,41.875009999999996,-87.67328
Kedzie Ave & Foster Ave,41.975671999999996,-87.709261
St. Louis Ave & Balmoral Ave,41.980394235,-87.716114961
Broadway & Granville Ave,41.994779688,-87.660284535
Western Ave & Granville Ave,41.994161369000004,-87.68943828200001
Central Ave & Chicago Ave,41.894958,-87.764902
South Shore Dr & 74th St,41.76218896,-87.55927465
Southport Ave & Clark St,41.957081,-87.664199
Halsted St & North Branch St,41.899368439,-87.648479875
Woodlawn Ave & 75th St,41.759159999999994,-87.595751
Ashland Ave & Lake St (Temp),41.88592,-87.66717
Leavitt St & Addison St,41.946655,-87.683359
Damen Ave & Cullerton St,41.855048,-87.675726
Central Park Ave & Elbridge Ave,41.935337283,-87.716889294
Kedzie Ave & Bryn Mawr Ave,41.982397085,-87.70892252
Wabash Ave & 87th St,41.736646,-87.62263399999999
Lincoln Ave & Belmont Ave,41.939365,-87.668385
Lakefront Trail & Bryn Mawr Ave,41.984036696,-87.652310469
Ridge Blvd & Touhy Ave,42.012132277,-87.682912644
Kingsbury St & Kinzie St,41.889176833,-87.638505772
Franklin St & Lake St,41.885837,-87.6355
Stony Island Ave & South Chicago Ave,41.751173,-87.585337
Vernon Ave & 75th St,41.758361,-87.614138
Racine Ave & 13th St,41.865054,-87.656959
State St & 35th St,41.83104,-87.62688
Sheridan Rd & Lawrence Ave,41.969516999999996,-87.654691
Ellis Ave & 53rd St,41.799336263,-87.600958115
Damen Ave & Sunnyside Ave,41.96325,-87.67925799999999
Ashland Ave & Pershing Rd,41.823465,-87.665577
Troy St & North Ave,41.909769302,-87.70528048700001
Clark St & North Ave,41.911974,-87.63194200000001
California Ave & Montrose Ave,41.961068,-87.69543900000001
Phillips Ave & 79th St,41.75182,-87.565211
Orleans St & Chestnut St (NEXT Apts),41.898203,-87.637536
Greenwood Ave & 79th St,41.751294,-87.59755200000001
Campbell Ave & Fullerton Ave,41.924632472,-87.689307006
Peoria St & Jackson Blvd,41.877749,-87.649633
Stony Island Ave & 71st St,41.766492936999995,-87.586460878
Cottage Grove Ave & 78th St,41.753174,-87.605026
Calumet Ave & 71st St,41.765508006,-87.616917925
Sheridan Rd & Montrose Ave,41.96167,-87.65464
Wentworth Ave & 63rd St,41.780079633,-87.629746305
2112 W Peterson Ave,41.991178000000005,-87.683593
Indiana Ave & 31st St,41.838842,-87.62185699999999
Sheffield Ave & Kingsbury St,41.910522,-87.65310600000001
Keystone Ave & Fullerton Ave,41.924377,-87.72823100000001
Woodlawn Ave & 55th St,41.795264,-87.596471
Pulaski Rd & Lake St,41.885409,-87.72649100000001
Elizabeth St & 47th St,41.80839,-87.656526
Clifton Ave & Armitage Ave,41.918215999999994,-87.656936
Western Blvd & 48th Pl,41.805661,-87.683392
Yates Blvd & 75th St,41.758767999999996,-87.56644
Ashland Ave & 50th St,41.803022999999996,-87.664699
Franklin St & Quincy St,41.878724,-87.634793
Sedgwick St & North Ave,41.911386,-87.638677
Jeffery Blvd & 76th St,41.757120068,-87.575839359
Clark St & Schiller St,41.907993,-87.631501
Wilton Ave & Belmont Ave,41.94018,-87.65304
Shields Ave & 43rd St,41.816207679,-87.63481935
Stony Island Ave & 82nd St,41.746559000000005,-87.586005
Cottage Grove Ave & 83rd St,41.744053,-87.604786
Hoyne Ave & 47th St,41.808227,-87.67718
Ellis Ave & 83rd St,41.744122999999995,-87.599034
South Shore Dr & 71st St,41.766409456999995,-87.565687572
Calumet Ave & 51st St,41.802294651,-87.61805358
Princeton Ave & 47th St,41.809317709,-87.633449288
Leavitt St & Armitage Ave,41.917805,-87.682437
Prairie Ave & 43rd St,41.816658893,-87.61941246200001
900 W Harrison St,41.874753999999996,-87.649807
Franklin St & Chicago Ave,41.896776,-87.635633
Bissell St & Armitage Ave,41.918440000000004,-87.65222
Dearborn St & Erie St,41.893992,-87.62931800000001
Clinton St & Polk St (*),41.871466518000005,-87.64094913299999
Blackstone Ave & Hyde Park Blvd,41.802562,-87.59036800000001
Halsted St & 47th Pl,41.808133915,-87.645616554
63rd St Beach,41.781016371999996,-87.57611976
Halsted St & 21st St,41.85378,-87.64665
Calumet Ave & 33rd St,41.8349,-87.61793
South Chicago Ave & 83rd St,41.743921,-87.575225
Emerald Ave & 31st St,41.838198,-87.645143
Damen Ave & Division St,41.903265999999995,-87.678435
Cottage Grove Ave & 47th St,41.809855,-87.606755
Blue Island Ave & 18th St,41.857556,-87.661535
Sedgwick St & Webster Ave,41.922167,-87.638888
Milwaukee Ave & Rockwell St,41.920195,-87.693033
Ashland Ave & Division St,41.90345,-87.66774699999999
Albany Ave & Montrose Ave,41.961040999999994,-87.705866
Rhodes Ave & 32nd St,41.836208,-87.61353299999999
State St & 33rd St,41.834734000000005,-87.625813
Canal St & Monroe St (*),41.880381,-87.639507
Paulina St & 18th St,41.857901,-87.668745
Kedzie Ave & Lake St,41.884603285,-87.706303744
Wells St & Polk St,41.872596,-87.63350200000001
Michigan Ave & Madison St,41.882134,-87.625125
Wacker Dr & Washington St,41.883132,-87.637321
Fort Dearborn Dr & 31st St,41.838556,-87.60821800000001
Western Ave & Monroe St,41.879787709,-87.68611280799999
Central Ave & Lake St,41.887664,-87.765469
Elston Ave & Wabansia Ave,41.912919,-87.664169
Clinton St & 18th St,41.85795,-87.640826
State St & 19th St,41.856594,-87.627542
Indiana Ave & 26th St,41.845687,-87.62248100000001
Kedzie Ave & 21st St,41.853533632,-87.705073032
Hermitage Ave & Polk St,41.871514000000005,-87.669886
Maplewood Ave & Peterson Ave,41.990236029,-87.69336964
Eberhart Ave & 61st St,41.784141693,-87.61330783
Sacramento Blvd & Franklin Blvd,41.889727,-87.70103
Cottage Grove Ave & Oakwood Blvd,41.822984999999996,-87.6071
Ashland Ave & 69th St,41.768726,-87.664069
Central Park Blvd & 5th Ave,41.875679,-87.71547
Kilbourn Ave & Irving Park Rd,41.953733,-87.740569
Campbell Ave & Montrose Ave,41.961525933000004,-87.691165041
May St & Taylor St,41.8694821,-87.6554864
Southport Ave & Waveland Ave,41.94815,-87.66394
Wells St & 19th St,41.856802,-87.63387900000001
Dearborn St & Adams St,41.879356359,-87.629791036
Wells St & Hubbard St,41.889905999999996,-87.634266
Ashland Ave & Archer Ave,41.839208684,-87.665609859
Kosciuszko Park,41.930585371,-87.723777364
Halsted St & Roosevelt Rd,41.867323999999996,-87.648625
Manor Ave & Leland Ave,41.965875,-87.700825
Lincoln Ave & Winona St,41.974911297,-87.69250255899999
Lincoln Ave & Sunnyside Ave,41.963004,-87.684781
Ashland Ave & Garfield Blvd,41.792821999999994,-87.664429
MLK Jr Dr & 29th St,41.842052,-87.617
Marshfield Ave & 59th St,41.786833,-87.66621500000001
Keystone Ave & Montrose Ave,41.961108016,-87.728970101
Seeley Ave & Garfield Blvd,41.794087,-87.675478
Racine Ave & 61st St,41.783189,-87.654372
California Ave & Fletcher St,41.938428791,-87.69800775600001
Western Ave & Lunt Ave,42.008594396999996,-87.690492239
Racine Ave & Garfield Blvd,41.794228000000004,-87.655073
Western Ave & 28th St,41.841517708000005,-87.68513144100001
Millard Ave & 26th St,41.844566849,-87.71591030799999
Larrabee St & Armitage Ave,41.918084,-87.643749
California Ave & 26th St,41.844040031,-87.69529592299999
Calumet Ave & 21st St,41.854184249,-87.619153741
Canal St & Taylor St,41.870257,-87.63947399999999
Winthrop Ave & Lawrence Ave,41.968812,-87.657659
Broadway & Sheridan Rd,41.952833,-87.64999300000001
Central Park Ave & Ogden Ave,41.854204313000004,-87.715405838
Kedzie Ave & 24th St,41.848190945,-87.705413746
Shore Dr & 55th St,41.795212,-87.580715
Halsted St & 37th St,41.827059000000006,-87.64572
Morgan St & Polk St,41.871736999999996,-87.65103
Western Ave & Roscoe St,41.943034000000004,-87.687288
Ashland Ave & McDowell Ave,41.80887,-87.66454
Sawyer Ave & Irving Park Rd,41.953586179,-87.7093108
Conservatory Dr & Lake St,41.885502,-87.71686600000001
Avondale Ave & Irving Park Rd,41.953393,-87.73200200000001
Dayton St & North Ave,41.910578035,-87.649421929
Racine Ave & Belmont Ave,41.939743,-87.658865
Halsted St & Dickens Ave,41.919936,-87.64883
Halsted St & 59th St,41.787539,-87.644874
Damen Ave & 59th St,41.78602,-87.67416700000001
Broadway & Argyle St,41.973815,-87.65966
Racine Ave & Randolph St,41.884069000000004,-87.656853
Damen Ave & Pershing Rd,41.823192,-87.676597
Ashland Ave & Augusta Blvd,41.899643,-87.6677
Ashland Ave & 66th St,41.774074,-87.663815
Halsted St & Willow St,41.913865,-87.64875500000001
University Library (NU),42.052939,-87.673447
Stockton Dr & Wrightwood Ave,41.93132,-87.63874200000001
Elmwood Ave & Austin St,42.025784,-87.684107
Wood St & Taylor St,41.869153999999995,-87.67104499999999
Loomis St & Lexington St,41.872187,-87.661501
Dodge Ave & Church St,42.048308,-87.698224
State St & 79th St,41.750794,-87.624424
Valli Produce - Evanston Plaza,42.039742,-87.699413
Central St Metra,42.063598,-87.69873
Southport Ave & Clybourn Ave,41.920771,-87.663712
Orleans St & Merchandise Mart Plaza,41.888243,-87.63639
Green St & Randolph St,41.883668,-87.64867
Wentworth Ave & Cermak Rd (Temp),41.853004999999996,-87.630578
Ellis Ave & 58th St,41.788746,-87.601334
Halsted St & Clybourn Ave (*),41.909667999999996,-87.648128
Bosworth Ave & Howard St,42.019537,-87.669563
Glenwood Ave & Touhy Ave,42.012701,-87.66605799999999
Eberhart (Vernon) Ave & 79th St,41.751345,-87.61256800000001
Clark St & Lunt Ave,42.009074,-87.67419
Racine Ave & 65th St,41.775393,-87.654308
Western Ave & Howard St,42.018901,-87.690048
Damen Ave & 51st St,41.800908,-87.674684
Central St & Girard Ave,42.064313,-87.686152
Clark St & Jarvis Ave,42.015963,-87.675005
Western Ave & Congress Pkwy,41.874748851,-87.686445276
Oakley Ave & Touhy Ave,42.012342,-87.688243
Greenview Ave & Jarvis Ave,42.015962,-87.66856999999999
Damen Ave & Thomas St (Augusta Blvd),41.901315000000004,-87.677409
McClurg Ct & Erie St,41.894503,-87.61785400000001
Emerald Ave & 28th St,41.843579999999996,-87.645368
Racine Ave & 18th St,41.858166,-87.65649499999999
Clark St & Montrose Ave,41.961588,-87.666036
Wabash Ave & Wacker Pl,41.886875,-87.62603
Lake Shore Dr & Belmont Ave,41.940775,-87.63919200000001
Paulina St & Montrose Ave,41.961507,-87.671387
Halsted St & Roscoe St,41.943670000000004,-87.64895
Sheridan Rd & Buena Ave,41.958494,-87.654966
Burling St (Halsted) & Diversey Pkwy (Temp),41.93314,-87.64775999999999
Halsted St & 18th St,41.857499,-87.646277
Leavitt St & Lawrence Ave,41.968885,-87.684001
Southport Ave & Irving Park Rd,41.954177,-87.664358
Cottage Grove Ave & 51st St,41.803038,-87.606615
Clark St & Columbia Ave,42.004450629000004,-87.672402405
Francisco Ave & Foster Ave,41.975632725,-87.70141943899999
Sheridan Rd & Greenleaf Ave,42.010586563000004,-87.662412095
Ada St & Washington Blvd,41.88283,-87.661206
Loomis St & Jackson Blvd,41.877945000000004,-87.66200699999999
Clark St & Lake St,41.886020828,-87.630876058
Wabash Ave & Adams St,41.879472352,-87.625688606
Ravenswood Ave & Lawrence Ave,41.96909,-87.674237
Clark St & Wrightwood Ave,41.929546,-87.643118
Western Ave & Winnebago Ave,41.91552,-87.687022
Michigan Ave & 18th St,41.857813,-87.62455
Museum of Science and Industry,41.79172821,-87.58394500899999
Ashland Ave & 21st St,41.853809999999996,-87.665897
Damen Ave & Wellington Ave,41.93588,-87.67841999999999
Ellis Ave & 55th St,41.794300621,-87.601449773
University Ave & 57th St,41.791478000000005,-87.599861
Lincoln Ave & Diversey Pkwy,41.932225,-87.658617
Woodlawn Ave & Lake Park Ave,41.81409271,-87.597005148
Honore St & Division St,41.903119000000004,-87.673935
Kedzie Ave & Harrison St,41.873599675,-87.704870749
Stave St & Armitage Ave,41.917741,-87.69139200000001
Shields Ave & 31st St,41.838464,-87.635406
Washtenaw Ave & Ogden Ave (*),41.861894,-87.693511
Cornell Ave & Hyde Park Blvd,41.802406,-87.586924
Warren Park West,42.001785,-87.688829
Broadway & Ridge Ave,41.984044611,-87.66027382899999
LaSalle St & Adams St,41.879344373,-87.63198522100001
Clark St & Schreiber Ave,41.999251822,-87.671377339
Sheridan Rd & Loyola Ave,42.00104378,-87.66119824299999
Broadway & Thorndale Ave,41.989742510999996,-87.66014062100001
Clark St & Bryn Mawr Ave,41.983593,-87.669154
Racine Ave & 35th St,41.830696113,-87.655975912
Damen Ave & Foster Ave,41.975614805,-87.679459039
Wabash Ave & Cermak Rd,41.852619,-87.626488
Clark St & Elmdale Ave,41.990887,-87.669758
California Ave & 23rd Pl,41.849109692,-87.695139807
Avers Ave & Belmont Ave,41.939408,-87.723574
Leavitt St & Archer Ave,41.82879202,-87.680604459
Kimball Ave & Belmont Ave,41.939398,-87.711561
Paulina St & Howard St,42.019159,-87.673573
Racine Ave & Fullerton Ave,41.92556258,-87.65840426
Central Park Ave & North Ave,41.909656876,-87.71663195200001
May St & 69th St,41.768938,-87.652934
Marshfield Ave & Cortland St,41.916017,-87.668879
Field Blvd & South Water St,41.886349063000004,-87.61751654700001
Morgan St & Pershing Rd,41.823613,-87.650931
Knox Ave & Montrose Ave,41.960631,-87.745359
Kilbourn Ave & Milwaukee Ave,41.948818,-87.74002
Rush St & Cedar St,41.902308700999995,-87.62769052799999
Wells St & Elm St,41.903222,-87.63432399999999
Clark St & Wellington Ave,41.936496821999995,-87.64753865799999
Broadway & Wilson Ave,41.965221,-87.658139
Morgan St & Lake St,41.885483308000005,-87.652304856
Kingsbury St & Erie St,41.893626,-87.641527
Logan Blvd & Elston Ave,41.929465,-87.684158
Clark St & Winnemac Ave (Temp),41.973255,-87.6697
Canal St & Jackson Blvd,41.877245,-87.63936600000001
Adler Planetarium,41.866095,-87.60726700000001
Milwaukee Ave & Grand Ave,41.891578,-87.648384
Lake Shore Dr & Monroe St,41.880958,-87.616743
Oakley Ave & Irving Park Rd,41.954340852,-87.686079624
Franklin St & Jackson Blvd,41.877707956,-87.635321141
Larrabee St & Kingsbury St,41.897764,-87.642884
Daley Center Plaza,41.884240999999996,-87.629634
Aberdeen St & Jackson Blvd,41.87772613,-87.65478743
Halsted St & Wrightwood Ave,41.929142999999996,-87.649077
Clinton St & Washington Blvd,41.883379999999995,-87.64116999999999
Desplaines St & Randolph St,41.88461619,-87.644570585
Rush St & Hubbard St,41.890173,-87.62618499999999
Damen Ave & Chicago Ave,41.895769,-87.67721999999999
Wilton Ave & Diversey Pkwy,41.932418,-87.65270500000001
Damen Ave & Melrose Ave,41.9406,-87.6785
Ashland Ave & Wellington Ave,41.936083,-87.66980699999999
Damen Ave & Leland Ave,41.967094,-87.679028
Damen Ave & Charleston St,41.920082,-87.67785500000001
Lake Park Ave & 56th St,41.793242,-87.58778199999999
Clark St & Chicago Ave,41.896544,-87.630931
Halsted St & 56th St,41.792929646,-87.644990057
Halsted St & 51st St,41.80183164,-87.645213904
Eastlake Ter & Rogers Ave,42.021019,-87.665086
Central Park Ave & 24th St,41.8481,-87.715068
Albany Ave & Bloomingdale Ave,41.914026713,-87.70512646200001
Troy St & Elston Ave,41.945243568,-87.706649901
Fairfield Ave & Roosevelt Rd,41.866624,-87.694521
State St & Pershing Rd,41.823015238,-87.62656801799999
Cicero Ave & Flournoy St,41.872131,-87.746619
Albany Ave & 26th St,41.844475014000004,-87.702013013
Bennett Ave & 79th St,41.751785,-87.578496
Greenview Ave & Fullerton Ave,41.925329999999995,-87.6658
Lincoln Ave & Roscoe St,41.94334,-87.67097
Western Ave & Leland Ave,41.966555,-87.688487
Halsted St & 35th St (*),41.830661,-87.647172
Desplaines St & Jackson Blvd,41.878287,-87.643909
Lake Park Ave & 53rd St,41.799494294,-87.586449896
Glenwood Ave & Morse Ave,42.007971923,-87.665502394
Clinton St & Roosevelt Rd,41.867117783000005,-87.64108795899999
Sedgwick St & Huron St,41.894666,-87.638437
Drake Ave & Fullerton Ave,41.924398819000004,-87.715441036
Spaulding Ave & Armitage Ave,41.917183752,-87.710356652
Wells St & Huron St,41.894721999999994,-87.634362
Clinton St & Lake St,41.885637,-87.641823
Stony Island Ave & 67th St,41.773458499,-87.58533973899999
Winchester (Ravenswood) Ave & Balmoral Ave,41.979762,-87.67753
Racine Ave & Wrightwood Ave,41.928886999999996,-87.658971
Harper Ave & 59th St,41.787942813,-87.58831517
Broadway & Barry Ave,41.937725,-87.644095
Michigan Ave & Jackson Blvd,41.87785,-87.62408
Pine Grove Ave & Waveland Ave,41.949275,-87.646303
Wells St & Concord Ln,41.912133000000004,-87.634656
Rockwell St & Eastwood Ave,41.96590014,-87.693638494
Clark St & Ida B Wells Dr,41.875932666,-87.630584536
Ashland Ave & Wrightwood Ave,41.92883,-87.66850699999999
Clark St & Lincoln Ave,41.915689,-87.6346
Paulina Ave & North Ave,41.910337,-87.67007199999999
Normal Ave & Archer Ave,41.849527,-87.640591
Clark St & Elm St,41.902972999999996,-87.63128
Clybourn Ave & Division St,41.904613,-87.640552
Mies van der Rohe Way & Chicago Ave,41.89691,-87.62174300000001
MLK Jr Dr & Pershing Rd,41.8246,-87.61678
Damen Ave & Cortland St,41.915983000000004,-87.677335
Wolcott (Ravenswood) Ave & Montrose Ave (*),41.961406,-87.67616899999999
Orleans St & Elm St (*),41.902924,-87.637715
Southport Ave & Roscoe St,41.943739,-87.66402
Lincoln Ave & Waveland Ave,41.948797,-87.675278
Michigan Ave & Pearson St,41.897659999999995,-87.62351
California Ave & North Ave,41.91044,-87.6972
Clarendon Ave & Junior Ter,41.961003999999996,-87.649603
LaSalle St & Jackson Blvd,41.878166,-87.631929
Kedzie Ave & Milwaukee Ave,41.929567,-87.70785699999999
Clarendon Ave & Leland Ave,41.967968,-87.650001
Lake Park Ave & 47th St,41.809443,-87.591875
Noble St & Milwaukee Ave,41.90068,-87.6626
Lincoln Ave & Addison St,41.946176,-87.67330799999999
Jeffery Blvd & 67th St,41.773517551,-87.577142826
Federal St & Polk St,41.872077633,-87.629543773
Ogden Ave & Roosevelt Rd,41.866501483,-87.68469707
Clarendon Ave & Gordon Ter,41.957879,-87.649519
Wells St & Evergreen Ave,41.906724,-87.63483000000001
Michigan Ave & Washington St,41.883892766,-87.624649141
State St & Randolph St,41.884730200999996,-87.627733569
Dorchester Ave & 63rd St,41.780405646,-87.591415989
DuSable Museum,41.791568011,-87.60785217700001
Clark St & Touhy Ave,42.012560115,-87.674367115
Wentworth Ave & 33rd St,41.834529886,-87.631822981
McCormick Place,41.851375173,-87.618834649
Chicago Ave & Washington St,42.032562,-87.679101
Damen Ave & Pierce Ave,41.909396007,-87.67769192899999
Wells St & Walton St,41.89993001,-87.63443007
Clinton St & Madison St,41.882242,-87.64106600000001
Marshfield Ave & 44th St,41.813996,-87.666589
Winchester Ave & Elston Ave,41.92409085,-87.676460075
Wolcott Ave & Fargo Ave,42.016977000000004,-87.677725
Spaulding Ave & Division St,41.902706594,-87.709219571
Mies van der Rohe Way & Chestnut St,41.898586651,-87.621915226
Loomis St & Taylor St (*),41.868968,-87.659141
Sheffield Ave & Willow St,41.913688,-87.652855
